Height;Weight;Hairleng;Shoesize;Age;Income;Beer;Wine;Sex;Swim;Region;IQ
198;92;-1;48;48;45000;420;115;-1;98;-1;100
184;84;-1;44;33;33000;350;102;-1;92;-1;130
183;83;-1;44;37;34000;320;98;-1;91;-1;127
166;47;-1;36;32;28000;270;78;1;75;-1;112
170;60;1;38;23;20000;312;99;1;81;-1;110
172;64;1;39;24;22000;308;91;1;82;-1;102
182;80;-1;42;35;30000;398;65;-1;85;-1;140
180;80;-1;43;36;30000;388;63;-1;84;-1;129
169;51;1;36;24;23000;250;89;1;78;-1;98
168;52;1;37;27;23500;260;86;1;78;-1;100
183;81;-1;42;37;35000;345;45;-1;90;-1;105
157;47;1;36;32;32000;235;92;1;70;-1;127
164;50;1;38;41;34000;255;134;1;76;-1;101
162;49;1;37;40;34000;265;124;1;75;-1;108
180;82;-1;44;43;37000;355;82;-1;88;-1;109
180;81;-1;44;46;42000;362;90;-1;86;-1;113
185;82;-1;45;26;16000;295;180;-1;92;1;109
187;84;-1;46;27;16500;299;178;-1;95;1;119
168;50;1;37;49;34000;170;162;1;76;1;135
166;49;1;36;21;14000;150;245;1;75;1;123
158;46;1;34;30;18000;120;120;1;70;1;119
177;65;-1;41;26;18000;209;160;-1;86;1;120
180;72;-1;43;33;19000;236;175;-1;85;1;115
181;75;-1;43;42;31000;198;161;-1;83;1;105
163;50;1;36;18;11000;143;136;1;75;1;102
162;50;1;36;20;11500;133;146;1;74;1;132
176;68;-1;42;50;36000;195;177;-1;82;1;96
175;67;1;42;55;38000;185;187;-1;80;1;105
165;51;1;36;36;26000;121;129;1;76;1;126
161;48;1;35;41;31500;116;196;1;75;1;120
178;75;-1;42;30;24000;203;208;-1;81;1;118
160;48;1;35;40;31000;118;198;1;74;1;129